id,category,failure,trigger,detection,impact,prevention,recovery,retry_policy,metric_alert,test_fixture,status,owner_module
T001,token,mint authority retained,creator never revoked it,audit.mintAuthorityDisabled read from the provider,supply can be inflated under an open position,mint_authority_disabled hard veto when requireMintAuthorityDisabled is set,candidate is rejected and the veto is stored,n/a,counter veto{reason=mint_authority_live},tests/e2e/observe-cycle.test.ts,implemented,packages/intelligence/src/gates.ts
T002,token,freeze authority retained,creator never revoked it,audit.freezeAuthorityDisabled read from the provider,the exit can be disabled unilaterally,freeze_authority_disabled hard veto,rejected,n/a,counter veto{reason=freeze_authority_live},tests/e2e/observe-cycle.test.ts,implemented,packages/intelligence/src/gates.ts
T003,token,upgradeable malicious program,token owned by a program that can be replaced,token_program_allowlist hard veto against a fixed allowlist,arbitrary behaviour change under an open position,only the two canonical token programs are permitted,rejected,n/a,counter veto{reason=unknown_token_program},tests/e2e/observe-cycle.test.ts,implemented,packages/intelligence/src/gates.ts
T004,token,Token-2022 PermanentDelegate,extension 12 present on the mint,decodeMint walks the TLV area and names the extension,a third party can move the position out of the wallet at will,extensions that can seize or strand a position are flagged as position-hostile,rejected before any quote is spent,n/a,counter mint_extension{name},tests/unit/mint-decode.test.ts,implemented,packages/solana/src/mint.ts
T005,token,Token-2022 NonTransferable,extension 13 present,decodeMint TLV walk,the token cannot be sold at all,position-hostile extension flag,rejected,n/a,counter mint_extension{name},tests/unit/mint-decode.test.ts,implemented,packages/solana/src/mint.ts
T006,token,DefaultAccountState frozen,extension 6 sets the default state to frozen,decodeMint TLV walk,new holders are frozen on receipt and cannot exit,position-hostile extension flag,rejected,n/a,counter mint_extension{name},tests/unit/mint-decode.test.ts,implemented,packages/solana/src/mint.ts
T007,token,TransferHook,extension 14 present,decodeMint TLV walk,an arbitrary program runs on every transfer and can revert the sell,position-hostile extension flag,rejected,n/a,counter mint_extension{name},tests/unit/mint-decode.test.ts,implemented,packages/solana/src/mint.ts
T008,token,Pausable,pausable extension present,decodeMint TLV walk,transfers can be halted while a position is open,position-hostile extension flag,rejected,n/a,counter mint_extension{name},tests/unit/mint-decode.test.ts,implemented,packages/solana/src/mint.ts
T009,token,mutable transfer fee,TransferFeeConfig with a live authority,decodeMint reads the ACTIVE fee for the current epoch not the pending one,realised proceeds are lower than modelled,the active fee is used in cost math; a live fee authority is treated as risk,rejected or the fee is charged into the cost model,n/a,gauge transfer_fee_bps,tests/unit/mint-decode.test.ts,implemented,packages/solana/src/mint.ts
T010,token,future transfer-fee schedule change,newer fee epoch scheduled to activate,decodeMint distinguishes older and newer fee epochs,a modelled cost is correct today and wrong tomorrow,the pending fee is decoded and available to the cost model,n/a,n/a,gauge transfer_fee_pending_bps,tests/unit/mint-decode.test.ts,partial,packages/solana/src/mint.ts
T011,token,unsupported or newer extension,upstream adds a discriminant above MAX_KNOWN_EXTENSION,decodeMint refuses rather than skipping the unknown TLV entry,an unknown behaviour is treated as no behaviour,fail closed on any discriminant the decoder does not know,MintDecodeError - the candidate is rejected,n/a,counter mint_decode_error,tests/unit/mint-decode.test.ts,implemented,packages/solana/src/mint.ts
T012,token,malformed account data,truncated or corrupt mint account,decodeMint length and COption tag validation,a misaligned read produces plausible garbage,every field offset is bounds-checked and every COption tag must be 0 or 1,MintDecodeError,n/a,counter mint_decode_error,tests/unit/mint-decode.test.ts,implemented,packages/solana/src/mint.ts
T013,token,uninitialized mint,account exists but is not initialised,decodeMint checks the initialised flag,decisions made about a token that does not exist yet,fail closed,MintDecodeError,n/a,counter mint_decode_error,tests/unit/mint-decode.test.ts,implemented,packages/solana/src/mint.ts
T014,token,account owned by an unrecognised program,mint address points at something else entirely,decodeMint refuses any owning program outside the two known token programs,layout is interpreted under the wrong schema,program id is checked before any byte is read,MintDecodeError,n/a,counter mint_decode_error,tests/unit/mint-decode.test.ts,implemented,packages/solana/src/mint.ts
T015,token,TLV entry claims more bytes than the account holds,crafted account data,length validation against the remaining buffer,out-of-bounds read or a fabricated extension,explicit bounds check on every TLV length,MintDecodeError,n/a,counter mint_decode_error,tests/unit/mint-decode.test.ts,implemented,packages/solana/src/mint.ts
T016,token,fake or mutable metadata,creator rewrites name and symbol after listing,metadata is never used as a decision input,a token impersonates a known asset,name symbol and description are stored for display only,n/a,n/a,none,none,implemented,packages/storage/src/repo.ts
T017,token,malicious token metadata injection,name or symbol contains instruction-like text,metadata never reaches a model or a shell,prompt injection or command execution,no LLM is in the hot path and no metadata is interpolated into a command,n/a,n/a,none,none,implemented,packages/pipeline/src/cycle.ts
T018,token,supply inflation during an open position,mint authority used mid-trade,not detected intraposition,dilution of the position value,mint authority must already be disabled at entry,exit on the normal exit rules,n/a,none,none,partial,packages/intelligence/src/gates.ts
T019,token,decimal edge cases,decimals of 0 or 18,amount math is bigint end to end and parses decimals losslessly,rounding error becomes a real loss,parseAmount and formatAmount round-trip across 0..18 decimals under property test,n/a,n/a,none,tests/property/amounts.property.test.ts,implemented,packages/domain/src/amounts.ts
T020,token,withheld transfer fees,fees accumulate in token accounts,not modelled,realised proceeds differ from the quoted amount,the quote already reflects the fee for the routed amount,reconciliation compares realised balance change against the quote,n/a,none,none,partial,packages/execution/src/effect.ts
T021,token,replaced program IDL or account layout,upstream program upgrade changes a layout,decoder fails closed on any unexpected structure,silent misinterpretation of on-chain state,layouts are decoded by hand with explicit offsets and no generated deserialiser,decode error rejects the candidate,n/a,counter mint_decode_error,tests/unit/mint-decode.test.ts,implemented,packages/solana/src/mint.ts
T022,token,provider suspicion flag ignored,audit.isSus set upstream,provider_sus_flag hard veto,knowingly trading a flagged token,unconditional veto when the flag is true,rejected,n/a,counter veto{reason=provider_flagged_suspicious},none,implemented,packages/intelligence/src/gates.ts
P001,pool,virtual or bonding-curve liquidity misread as real depth,pre-migration launchpad token,provider liquidity is cross-checked against an executable round-trip quote,size is chosen against depth that cannot absorb it,no position is sized without a quote that proves both directions,rejected when either leg is missing,n/a,counter veto{reason=no_exit_route},tests/e2e/observe-cycle.test.ts,implemented,packages/intelligence/src/gates.ts
P002,pool,one-sided CLMM liquidity,all liquidity on the buy side,exit_route_exists veto from the reverse quote,a position that can be entered and not left,the sell quote is requested for exactly the amount the buy would produce,rejected,n/a,counter veto{reason=no_exit_route},none,implemented,packages/adapters/src/jupiter/client.ts
P003,pool,out-of-range concentrated liquidity,price moves outside the LP range,round-trip loss measured on the actual size,quoted depth exists but not at this price,round_trip_drag soft risk rises with measured loss,size is reduced or the candidate is rejected,n/a,histogram round_trip_loss_bps,none,implemented,packages/intelligence/src/gates.ts
P004,pool,LP position withdrawn mid-trade,creator pulls liquidity,exit quote fails at exit time,the exit disappears while the position is open,exit logic re-quotes rather than assuming the entry route still exists,EXIT_BLOCKED is recorded and retried,exit is retried each cycle,counter exit_blocked,none,partial,packages/strategy/src/exits.ts
P005,pool,creator retains LP ownership,LP tokens never burned or locked,not directly measured,liquidity can be removed at will,intended: LP mint authority and lock state read on chain,n/a,n/a,none,none,designed_not_implemented,packages/intelligence/src/gates.ts
P006,pool,false lock or burn semantics,a lock contract that the creator can still unwind,not measured,a token appears safe and is not,intended: verify the lock program and its authority rather than a provider boolean,n/a,n/a,none,none,designed_not_implemented,packages/intelligence/src/gates.ts
P007,pool,dynamic fee spike,pool fee tier changes under load,measured in the round-trip loss at quote time,cost model understates the true cost,cost is measured from the quote not from a static assumption,n/a,n/a,histogram round_trip_loss_bps,none,implemented,packages/intelligence/src/gates.ts
P008,pool,no sell route,router finds no path back to SOL,tryQuote returns a null quote with no provider failure,capital is stranded,exit_route_exists hard veto before entry,rejected,n/a,counter veto{reason=no_exit_route},tests/e2e/observe-cycle.test.ts,implemented,packages/adapters/src/jupiter/client.ts
P009,pool,fragmented routes,liquidity split across many venues,routeLabels recorded per quote,slippage is worse than a single-venue estimate,the quote is the source of truth for the achievable price,n/a,n/a,histogram route_hops,tests/replay/determinism.test.ts,implemented,packages/adapters/src/jupiter/client.ts
P010,pool,wash volume,a small cluster trading with itself,wash_tx_per_trader soft risk from transactions per distinct trader,momentum is fabricated and reverses instantly,volume is discounted by trader diversity,score reduced; often not eligible,n/a,histogram tx_per_trader,none,implemented,packages/intelligence/src/gates.ts
P011,pool,zero sell volume with heavy buying,selling is not actually possible,no_sells_observed soft risk at weight 0.8,honeypot,flagged when buys exceed 10 and sell volume is exactly zero,score reduced,n/a,counter soft{no_sells_observed},none,implemented,packages/intelligence/src/gates.ts
P012,pool,shared-funder Sybil cluster,many wallets funded from one source,not measured,holder count overstates real distribution,intended: funder clustering over the first-buyer set,n/a,n/a,none,none,designed_not_implemented,packages/intelligence/src/gates.ts
P013,pool,bundle concealment,launch bundle hides true initial distribution,not measured,concentration looks lower than it is,intended: read the launch transaction set,n/a,n/a,none,none,designed_not_implemented,packages/intelligence/src/gates.ts
P014,pool,creator dump,dev sells their allocation,dev_balance hard veto at entry when the field is present,price collapses under the position,tokens whose dev balance exceeds the cap are refused,rejected at entry,n/a,counter veto{reason=dev_holds_too_much},none,implemented,packages/intelligence/src/gates.ts
P015,pool,dev balance unmeasurable,provider omits devBalancePercentage,dev_balance_unavailable soft risk at 0.2,absence treated as safety would admit the worst tokens,absence is graded as risk rather than asserted as either verdict,score reduced,n/a,rate of dev_balance_unavailable,none,implemented,packages/intelligence/src/gates.ts
P016,pool,top-holder dump,a whale exits,evaluateConcentrationGate measures the on-chain top-holder share,price collapses,holder_concentration hard veto above the configured share,rejected,n/a,histogram top_holder_pct,none,implemented,packages/intelligence/src/gates.ts
P017,pool,provider concentration figure counts the pool as a holder,bonding-curve token pre-migration,provider_top_holders is a soft pre-filter only,rejecting the entire pre-migration population,the authoritative measurement is on-chain and the provider figure never vetoes,n/a,n/a,none,none,implemented,packages/intelligence/src/gates.ts
P018,pool,concentration unmeasurable,RPC does not permit getTokenLargestAccounts,holder_concentration_unavailable soft risk,unmeasured concentration passes as measured,absence is graded as risk and replay excludes such rows from concentration comparison,score reduced,n/a,rate of concentration_unavailable,tests/replay/determinism.test.ts,implemented,packages/intelligence/src/gates.ts
P019,pool,rapid migration or config transition,launchpad migrates the pool mid-screen,max_token_age bounds the window in which this is likely,route and depth change between the quote and the fill,the strategy trades a bounded age window rather than the migration instant,n/a,n/a,none,none,partial,packages/intelligence/src/gates.ts
P020,pool,stale reserves,provider caches pool state,data_freshness veto plus a live quote at decision time,size chosen against depth that no longer exists,the quote is taken at decision time and expires with the intent,intent expiry refuses the signature,n/a,histogram source_age_ms,tests/unit/signer.test.ts,implemented,packages/intelligence/src/gates.ts
P021,pool,oracle or index price divergence,provider price disagrees with the executable price,round-trip quote is the only price used for sizing,sizing against a price nobody will give you,usdPrice is never used to size a position,n/a,n/a,none,none,implemented,packages/strategy/src/portfolio.ts
P022,pool,high price impact,size too large for the pool,priceImpactPct recorded per quote and bounded,a self-inflicted loss on entry,size is capped by maxEntryLamports and by the viability floor,size reduced or rejected,n/a,histogram price_impact_pct,tests/unit/portfolio.test.ts,implemented,packages/strategy/src/portfolio.ts
P023,pool,exit crowding,many holders exit simultaneously,not modelled,realised exit is worse than the quoted exit,exit slippage is bounded by the minimum-out floor,partial fill is refused; the order fails rather than filling badly,n/a,none,none,partial,packages/execution/src/order.ts
P024,pool,liquidity diverging from price,price rises while liquidity falls,liquidity_diverging soft risk at 0.7,the exit thins exactly as the position becomes worth exiting,flagged when price is up over 20 percent and liquidity change is negative,score reduced,n/a,counter soft{liquidity_diverging},none,implemented,packages/intelligence/src/gates.ts
P025,pool,price without holder growth,a few wallets passing the token between themselves,price_without_holders soft risk at 0.75,fake momentum,flagged when price is up over 30 percent and holder change is not positive,score reduced,n/a,counter soft{price_without_holders},none,implemented,packages/intelligence/src/gates.ts
X001,execution,stale order,decision made and acted on later,intent carries an explicit expiry checked at signing,filling on a price that no longer exists,the signer refuses an expired intent regardless of policy,intent is discarded and re-derived,not retried with the same intent,counter signer_refusal{reason=expired},tests/unit/signer.test.ts,implemented,packages/execution/src/signer.ts
X002,execution,blockhash expiry,transaction built too early or sent too late,lastValidBlockHeight compared against the current block height,a signed transaction silently never lands,expiry is declared only once the height provably passed,attempt is marked expired and the intent may be re-derived,new blockhash and a new intent,counter attempts_expired,tests/chaos/recovery.test.ts,implemented,packages/execution/src/machine.ts
X003,execution,block height unreadable,RPC fails the height query,the attempt is left unresolved rather than declared expired,declaring a live transaction dead would double-spend,expiry requires a positive proof; absence of proof leaves it outstanding,resolveOutstanding retries on the next pass,retried each pass,counter attempts_unresolved,tests/chaos/recovery.test.ts,implemented,packages/execution/src/machine.ts
X004,execution,RFQ or quote expiry,router quote has a validity window,quote timestamps are recorded and the intent expiry is derived from them,executing against a withdrawn price,intent expiry is the binding deadline,refused at the signer,n/a,counter signer_refusal{reason=expired},tests/unit/signer.test.ts,implemented,packages/execution/src/signer.ts
X005,execution,partial-signature handling,transaction requires a co-signer,the signer refuses any transaction needing a second signature,a half-signed transaction is submitted or a third party gains control,required signer count must be exactly one,refused,n/a,counter signer_refusal{reason=multi_signer},tests/unit/signer.test.ts,implemented,packages/execution/src/signer.ts
X006,execution,transaction substitution,the provider returns different bytes than the quote implies,binding check ties the transaction to the intent it claims to execute,signing an attacker-supplied transaction,the signer never accepts arbitrary serialized transactions; policy binding and effect are all evaluated before signing,refused,n/a,counter signer_refusal{reason=binding},tests/unit/signer.test.ts,implemented,packages/execution/src/binding.ts
X007,execution,unexpected writable account,transaction writes an account nobody authorised,policy inspects every account and program in the message,arbitrary state change under our signature,every program must be on the allowlist,refused,n/a,counter policy_refusal{reason=program},tests/unit/txpolicy.test.ts,implemented,packages/solana/src/txpolicy.ts
X008,execution,address lookup table changed,ALT contents differ from what was decoded,decodeTransaction resolves lookup tables as a structure it understands and fails closed on anything else,accounts resolve to something other than what was reviewed,undecodable transactions are refused rather than passed through,refused,n/a,counter policy_refusal{reason=undecodable},tests/unit/txpolicy.test.ts,partial,packages/solana/src/txpolicy.ts
X009,execution,failed simulation,preflight reports the transaction would fail,simulation result checked before send,wasted fee and a false expectation of a fill,simulate before send,attempt is not sent,not retried with the same blockhash,counter simulation_failed,none,partial,packages/execution/src/rpc.ts
X010,execution,simulation and live discrepancy,state changed between simulate and send,realised balance change compared against the modelled effect,the fill differs from what was authorised,the effect check bounds lamport outflow before signing,reconciliation records the true outcome,n/a,histogram effect_delta_lamports,tests/unit/signer.test.ts,implemented,packages/execution/src/effect.ts
X011,execution,missing associated token account,ATA not yet created for the mint,the transaction includes ATA creation and the rent is charged into the cost model,the transaction fails or rent is unaccounted,rent is included in roundTripCostLamports,n/a,n/a,none,tests/unit/portfolio.test.ts,implemented,packages/strategy/src/portfolio.ts
X012,execution,insufficient SOL for rent or fees,balance drawn down by open positions,the SOL reserve is subtracted before any size is computed,a transaction fails after the decision was made,sizePosition never spends into the configured reserve,size is zero and no intent is created,n/a,gauge sol_reserve_lamports,tests/unit/portfolio.test.ts,implemented,packages/strategy/src/portfolio.ts
X013,execution,slippage failure,price moved past the minimum-out floor,the transaction reverts on chain,no fill and a lost fee,minOutWithSlippage bounds the acceptable output,attempt recorded as failed; the intent may be re-derived,new quote required,counter tx_failed{reason=slippage},tests/property/amounts.property.test.ts,implemented,packages/domain/src/amounts.ts
X014,execution,dropped transaction,leader never included it,no status for the signature and the blockhash eventually expires,capital state is unknown,every send is recorded before it is attempted,resolveOutstanding declares it expired only after the height passes,re-derive rather than resend the same bytes,counter attempts_expired,tests/chaos/recovery.test.ts,implemented,packages/execution/src/machine.ts
X015,execution,duplicate submission,retry after an ambiguous send,idempotency key claimed exactly once per decision,the same position entered twice,the key is claimed in the same transaction that creates the intent,the duplicate returns without touching the signer or the network,no retry,counter duplicate_intent,tests/chaos/recovery.test.ts,implemented,packages/execution/src/machine.ts
X016,execution,unknown transaction status,send threw after the bytes may have reached the wire,treated as unknown rather than failed,a landed transaction recorded as never sent,a send that threw leaves the attempt outstanding,the chain is queried on the next pass,retried each pass until resolved,counter attempts_unresolved,tests/chaos/recovery.test.ts,implemented,packages/execution/src/machine.ts
X017,execution,false negative confirmation,the process never saw the send return but the transaction landed,recovery reads the truth off the chain,an open position invisible to the engine,state is reconstructed from chain signatures not from process memory,recorded as confirmed on the next resolve pass,retried each pass,counter recovered_confirmations,tests/chaos/recovery.test.ts,implemented,packages/execution/src/machine.ts
X018,execution,false positive confirmation,a landed transaction that reverted,the transaction meta error field is checked not merely its presence,a revert recorded as a fill,landed-but-reverted is recorded as failed,recorded as failed,n/a,counter tx_reverted,tests/chaos/recovery.test.ts,implemented,packages/execution/src/machine.ts
X019,execution,RPC says failed while the provider says success,two sources disagree,chain status is authoritative,acting on the wrong belief,only the chain is consulted for finality,n/a,n/a,none,tests/chaos/recovery.test.ts,implemented,packages/execution/src/machine.ts
X020,execution,provider reports success before the balance changed,optimistic provider response,realised balance is read and compared,phantom fill,a fill is recorded from the on-chain effect not from a provider acknowledgement,reconciliation corrects the ledger,n/a,counter reconcile_corrections,none,partial,apps/executor/src/reconcile-cli.ts
X021,execution,balance reconciliation mismatch,ledger and chain disagree,reconcile compares stored positions against chain balances,trading on a wrong view of capital,reconciliation is run on startup and on demand,mismatches are reported,n/a,counter reconcile_mismatch,none,partial,apps/executor/src/reconcile-cli.ts
X022,execution,fee overrun,priority fee higher than authorised,policy caps the priority fee and the ceiling comes from the intent itself,paying an unbounded fee,the signer takes its ceiling from the intent so the two cannot disagree,refused,n/a,counter policy_refusal{reason=priority_fee},tests/unit/signer.test.ts,implemented,packages/solana/src/txpolicy.ts
X023,execution,fee payer is not our key,crafted or mistaken transaction,policy compares the fee payer against the configured key,paying for someone else's transaction,fee payer must equal our public key,refused,n/a,counter policy_refusal{reason=fee_payer},tests/unit/txpolicy.test.ts,implemented,packages/solana/src/txpolicy.ts
X024,execution,oversized transaction,route too complex for one packet,size is checked against MAX_TX_BYTES,the transaction is rejected by the network after fees are committed,refuse above 1232 bytes before signing,refused,n/a,counter policy_refusal{reason=size},tests/unit/txpolicy.test.ts,implemented,packages/solana/src/txpolicy.ts
X025,execution,undecodable transaction bytes,truncation trailing bytes or an unsupported version,decodeTransaction rejects each case explicitly,signing bytes nobody has read,fail closed on anything the decoder cannot fully account for,refused,n/a,counter policy_refusal{reason=undecodable},tests/unit/txpolicy.test.ts,implemented,packages/solana/src/txpolicy.ts
X026,execution,emergency exit route lost,the only exit venue disappears,exit quote fails at exit time,capital stranded in an open position,exits re-quote rather than assuming a route,EXIT_BLOCKED recorded,retried each cycle,counter exit_blocked,none,partial,packages/strategy/src/exits.ts
X027,execution,attempt recorded against no intent,orphaned write,foreign key refuses an attempt with no parent intent,an execution record with no decision behind it,referential integrity is enforced in the schema,insert fails,n/a,none,tests/chaos/recovery.test.ts,implemented,packages/storage/src/repo.ts
X028,execution,two attempts under one signature,replay of a send path,unique constraint on the signature,double counting a single on-chain event,uniqueness enforced in the schema,insert fails,n/a,none,tests/chaos/recovery.test.ts,implemented,packages/storage/src/repo.ts
X029,execution,a submitted attempt silently downgraded,optimistic local state change,a SUBMITTED attempt stays outstanding until the chain answers,believing a live transaction is dead,state transitions out of SUBMITTED require chain evidence,n/a,n/a,counter attempts_outstanding,tests/chaos/recovery.test.ts,implemented,packages/execution/src/machine.ts
X030,execution,one bad attempt masks another,a failure while resolving a batch,each outstanding attempt is resolved independently,unresolved capital hidden behind one error,per-attempt error isolation in the resolve loop,the rest still resolve,retried each pass,counter attempts_unresolved,tests/chaos/recovery.test.ts,implemented,packages/execution/src/machine.ts
X031,execution,System transfer payload unreadable,malformed instruction data,the effect check refuses rather than assuming zero outflow,an unbounded outflow treated as bounded,fail closed on any transfer it cannot parse,refused,n/a,counter signer_refusal{reason=effect},tests/unit/signer.test.ts,implemented,packages/execution/src/effect.ts
Q001,quant,lookahead bias,a feature computed from data later than the decision,every decision is re-derived from a snapshot captured at decision time,backtest results that cannot be realised,the snapshot is the only input replay is permitted to read,divergence is reported as a defect,n/a,gauge replay_divergent_snapshots,tests/replay/determinism.test.ts,implemented,packages/research/src/replay.ts
Q002,quant,snapshot does not capture everything the decision read,a gate reads a value not stored,replay diverges from the stored verdict,a backtest built on incomplete snapshots is fiction,replay compares eligibility scores and vetoes field by field,divergence fails the run with a non-zero exit code,n/a,gauge replay_divergent_snapshots,tests/replay/determinism.test.ts,implemented,packages/research/src/replay.ts
Q003,quant,replay silently verifies nothing,corpus empty or all rows at another strategy version,replayed count is checked and zero is treated as a failure,zero divergences over zero rows read as success,exit code 1 when nothing was actually verified,operator is told nothing was verified,n/a,gauge replay_replayed,tests/replay/determinism.test.ts,implemented,packages/research/src/replay-cli.ts
Q004,quant,a checker that always passes,comparison logic broken,tests prove the checker catches a flipped verdict an altered score an invented veto and a missing quote,undetectable regression in the safety net,both directions are tested - clean corpus reproduces and tampered corpus is caught,n/a,n/a,none,tests/replay/determinism.test.ts,implemented,packages/research/src/replay.ts
Q005,quant,version comparison mistaken for nondeterminism,strategy version bumped,rows at another strategy_version are counted separately and never compared,a version bump reported as a determinism failure,scoping by strategy_version,n/a,n/a,gauge replay_skipped_other_version,tests/replay/determinism.test.ts,implemented,packages/research/src/replay.ts
